eventid	tagcode	ptt_idcode	tagtype	taggingdate	deploylon	deploylat	dep_length	seriesname	recpopdate	recpoplon	recpoplat	tagreturned	fish_recaptured	breedingstatus	tagging_mortality	ac_cnt	firstdate	lastdate	interval_min	interval_max	tagfamily	est_taglife	stock	stock_reason	ssm_complete
510902300	09A0352	98189	satellite	10/18/2009	-61.7382	46.1092	250	Canada 2009	5/28/2010	-73.293	34.861	0	0	2	0	0									has SSM
510902301	1075914	60050	acoustic	10/18/2009	-61.7382	46.1092	250	Canada 2009								346	7/12/2010 18:45	11/4/2011 11:47	30	90	V16-4H	815			
510902400	09A0353	98190	satellite	10/18/2009	-61.625	46.1354	273	Canada 2009	6/15/2010	-60.396	47.069	0	0	2	0	0									has SSM
510902401	1075915	60051	acoustic	10/18/2009	-61.625	46.1354	273	Canada 2009								392	6/14/2010 22:29	9/15/2011 13:05	30	90	V16-4H	815			
510902600	09A0355	98192	satellite	10/22/2009	-61.5513	46.2067	269	Canada 2009	6/19/2010	-62.648	44.775	1	0	1	0	0							GOM	track	has SSM
510902601	1075920	60056	acoustic	10/22/2009	-61.5513	46.2067	269	Canada 2009							0	166	6/20/2010 19:35	8/1/2014 0:24	30	90	V16-4H	815			
510902700	09A0356	98193	satellite	10/22/2009	-61.5609	46.1822	293	Canada 2009	3/28/2010	-93.114	25.103	0	0	1	0	0							GOM	"popup, track"	has SSM
510902701	1075921	60057	acoustic	10/22/2009	-61.5609	46.1822	293	Canada 2009								535	6/22/2010 23:43	12/19/2011 18:26	30	90	V16-4H	815			
510902800	09A0357	98194	satellite	10/22/2009	-61.5958	46.196	233	Canada 2009	11/17/2009	-70.386	39.975	0	0	2	1	0									has SSM
510902801	1075922	60058	acoustic	10/22/2009	-61.5958	46.196	233	Canada 2009							1				30	90	V16-4H	815			
510902900	09A0358	98195	satellite	10/24/2009	-61.6109	46.2124	277	Canada 2009	6/30/2010	-64.647	47.598	0	0	1	0	0							GOM	track	has SSM
510902901	1075924	60060	acoustic	10/24/2009	-61.6109	46.2124	277	Canada 2009								222	6/21/2010 10:22	10/21/2011 11:14	30	90	V16-4H	815			
510903000	09A0359	98196	satellite	10/24/2009	-61.6103	46.2357	261	Canada 2009	3/2/2010	-75.619	32.148	0	0	2	0	0									has SSM
510903001	1075911	60047	acoustic	10/24/2009	-61.6103	46.2357	261	Canada 2009								410	6/30/2010 22:50	9/23/2012 20:10	30	90	V16-4H	815			
510903100	09A0365	98198	satellite	10/30/2009	-61.5693	46.3375	268	Canada 2009								0									
510903101	1075916	60052	acoustic	10/30/2009	-61.5693	46.3375	268	Canada 2009								1419	6/15/2010 18:52	11/16/2011 20:15	30	90	V16-4H	815			
510903200	09A0360	98197	satellite	10/30/2009	-61.565	46.3383	262	Canada 2009								0									
510903201	1075913	60049	acoustic	10/30/2009	-61.565	46.3383	262	Canada 2009											30	90	V16-4H	815			
511006600	10A0724	101355	satellite	9/24/2010	-62.10045	46.0603	272	Canada 2010	9/28/2010	-62.091	46.087	0	0	2	1	0									
511006601	1075917	60053	acoustic	9/24/2010	-62.10045	46.0603	272	Canada 2010							1				30	90	V16-4H	815			
511006700	10A0726	101357	satellite	9/24/2010	-62.10382	46.05495	293	Canada 2010	3/26/2011	-94.431	27.69	0	0	1	0	0							GOM	"popup, track"	has SSM
511006701	1075918	60054	acoustic	9/24/2010	-62.10382	46.05495	293	Canada 2010								98	9/28/2010 13:17	10/21/2011 18:17	30	90	V16-4H	815			
511009100	1101608	45851	acoustic	10/16/2010	-61.3998	46.3031	197	Canada 2010	3/27/2017	-75.18375	35.7785	1	1		0	174	10/17/2010 20:31	1/8/2013 9:28	30	90	V16-4H	858			
511009200	1101606	45849	acoustic	10/16/2010	-61.3622	46.2523	194	Canada 2010								16	10/18/2010 6:56	10/18/2010 7:06	30	90	V16-4H	858			
511101400	1117033	19214	acoustic	9/23/2011	-61.6	46.04	247	Canada 2011								226	10/7/2011 2:52	10/22/2013 13:52	30	90	V16-4H	858			
511101800	1117049	19348	acoustic	9/24/2011	-61.61	46.04	219	Canada 2011								257	9/28/2011 13:08	11/8/2012 6:47	30	90	V16-6H	1633			
511101900	1117052	19351	acoustic	9/24/2011	-61.6	46.04	237	Canada 2011											30	90	V16-6H	1633			
511102000	1117034	19215	acoustic	9/24/2011	-61.62	46.03	246	Canada 2011	12/17/2011	-76.8	28.3833	1	1		0	187	10/13/2011 16:27	11/9/2011 9:12	30	90	V16-4H	858			
511102100	1117035	19216	acoustic	9/24/2011	-61.62	46.04	299	Canada 2011								15	9/27/2011 12:48	9/27/2011 13:10	30	90	V16-4H	858			
511102900	1117050	19349	acoustic	9/29/2011	-61.71	46.01	175	Canada 2011								756	2/1/2012 20:40	11/9/2015 18:19	30	90	V16-6H	1633			
511103000	1101604	45847	acoustic	9/29/2011	-61.72	46.03	252	Canada 2011								9	10/11/2011 13:39	10/11/2011 13:43	30	90	V16-4H	858			
511103500	1117048	19347	acoustic	10/3/2011	-61.74	46.07	244	Canada 2011								21	10/6/2011 21:06	11/17/2012 7:27	30	90	V16-6H	1633			
511103600	1117051	19350	acoustic	10/3/2011	-61.7	46.08	203	Canada 2011								590	10/6/2011 13:22	12/11/2013 12:25	30	90	V16-6H	1633			
511103700	1117038	19219	acoustic	10/3/2011	-61.66	46.06	243	Canada 2011								256	10/7/2011 4:31	7/6/2018 15:40	30	90	V16-4H	858			
511103800	1117040	19221	acoustic	10/3/2011	-61.67	46.06	211	Canada 2011								650	10/6/2011 23:51	11/17/2013 13:07	30	90	V16-4H	858			
511103900	1101602	45845	acoustic	10/3/2011	-61.7	46.07	239	Canada 2011								196	10/6/2011 22:18	12/15/2013 13:42	30	90	V16-4H	858			
511104000	1101607	45850	acoustic	10/3/2011	-61.68	46.06	210	Canada 2011	6/29/2015	14.31667	35.01667	1	1		0	171	10/7/2011 5:09	10/19/2013 9:45	30	90	V16-4H	858			
511104300	1101609	46020	acoustic	10/13/2011	-61.46	46.18	220	Canada 2011								537	10/27/2011 21:18	1/9/2014 7:27	30	90	V16-6H	1633			
511104400	1101610	46021	acoustic	10/14/2011	-61.52	46.18	199	Canada 2011								216	10/16/2011 5:48	4/27/2014 1:13	30	90	V16-6H	1633			
511104700	1101601	45844	acoustic	10/19/2011	-61.55	46.09	246	Canada 2011								207	10/28/2011 18:17	10/24/2013 8:36	30	90	V16-4H	858			
511104800	1117036	19217	acoustic	10/21/2011	-61.57	46.1	269	Canada 2011								113	10/27/2011 19:03	11/8/2012 4:02	30	90	V16-4H	858			
511104900	1117037	19218	acoustic	10/21/2011	-61.56	46.1	209	Canada 2011								314	10/25/2011 17:01	11/12/2013 14:43	30	90	V16-4H	858			
511105400	1101605	45848	acoustic	10/23/2011	-61.7	46.01	221	Canada 2011											30	90	V16-4H	858			
511105700	1101603	45846	acoustic	10/25/2011	-61.72	45.97	193	Canada 2011								7	10/27/2011 5:22	10/27/2011 5:29	30	90	V16-4H	858			
511105800	1117039	19220	acoustic	10/16/2011	-61.58	46.08	215	Canada 2011								465	10/19/2011 1:23	10/23/2013 12:26	30	90	V16-4H	858			
511202800	10P0414	108312	satellite	9/23/2012	-62.19833	46.01838	270	Canada 2012	7/1/2013	-70.783	40.438	0	0	2	0	0									has SSM
511202801	1142727	33775	acoustic	9/23/2012	-62.19833	46.01838	270	Canada 2012								143	9/27/2012 11:22	10/15/2014 17:50	30	90	V16-4H	858			
511202900	1142729	33777	acoustic	9/24/2012	-62.22336	46.01615	235	Canada 2012								250	10/12/2012 13:00	10/21/2013 11:12	30	90	V16-4H	858			
511203000	10P0416	108313	satellite	9/24/2012	-62.226516	46.00935	283	Canada 2012	7/1/2013	-60.943	46.756	1	0	1	0	0							GOM	track	has SSM
511203001	1142728	33776	acoustic	9/24/2012	-62.226516	46.00935	283	Canada 2012								56	9/28/2012 2:14	10/19/2013 18:26	30	90	V16-4H	858			
511203100	1142730	33778	acoustic	9/24/2012	-62.3172	46.0092	222	Canada 2012								347	10/18/2012 11:06	11/17/2013 12:54	30	90	V16-4H	858			
511203200	11P0097	122497	satellite	9/24/2012	-62.30675	46.011866	260	Canada 2012	7/10/2013	-60.82	46.991	1	0	2	0	0							Slope	track	has SSM
511203201	1142731	33779	acoustic	9/24/2012	-62.31	46.01	260	Canada 2012								33	10/1/2012 22:17	7/23/2013 8:22	30	90	V16-4H	858			
511203300	11P0139	122498	satellite	9/24/2012	-62.3067	46.01132	278	Canada 2012	5/9/2013	-92.33	28.54	1	0	1	0	0							GOM	"recovery, track"	has SSM
511203301	1142732	33780	acoustic	9/24/2012	-62.3067	46.01132	278	Canada 2012								674	10/19/2012 11:50	11/5/2014 11:40	30	90	V16-4H	858			
511203400	11P0748	122499	satellite	9/29/2012	-62.3309	46.00083	270	Canada 2012	7/11/2013	-44.238	46.276	0	0	2	0	0									has SSM
511203401	1142733	33781	acoustic	9/29/2012	-62.3309	46.00083	270	Canada 2012								93	10/5/2012 17:56	7/22/2014 10:42	30	90	V16-4H	858			
511203500	11P0749	122500	satellite	9/29/2012	-62.32797	46.00218	259	Canada 2012	3/25/2013	-94.80788	27.72563	0	1	1	0	0							GOM	"popup, track"	has SSM
511203501	1142735	33783	acoustic	9/29/2012	-62.32797	46.00218	259	Canada 2012	10/30/2017	-62.0272	46.1073	0	1		0	214	10/6/2012 12:02	3/1/2014 3:57	30	90	V16-4H	858			
511203600	11P0751	122501	satellite	9/29/2012	-62.3327	46.00223	261	Canada 2012	4/23/2013	-37.053	37.621	0	0	2	0	0									has SSM
511203601	1142737	33785	acoustic	9/29/2012	-62.3327	46.00223	261	Canada 2012								193	10/6/2012 2:30	10/15/2013 9:54	30	90	V16-4H	858			
511203700	11P0759	122502	satellite	9/29/2012	-62.3079	46.043	268	Canada 2012	6/10/2013	-80.811	23.975	0	0	1	0	0							GOM	"popup, track"	has SSM
511203701	1142738	33786	acoustic	9/29/2012	-62.3079	46.043	268	Canada 2012								439	10/14/2012 17:56	10/30/2014 19:45	30	90	V16-4H	858			
511203800	11P0761	122503	satellite	10/5/2012	-62.30838	45.99765	277	Canada 2012	5/1/2013	-89.81	27.295	0	0	1	0	0							GOM	"popup, track"	has SSM
511203801	1142736	33784	acoustic	10/5/2012	-62.30838	45.99765	277	Canada 2012								322	11/1/2012 13:35	9/19/2013 13:33	30	90	V16-4H	858			
511203900	11P0762	122504	satellite	10/5/2012	-62.3522	45.979	273	Canada 2012	8/1/2013	-62.146	46.237	1	0	1	0	0							GOM	track	has SSM
511203901	1142739	33787	acoustic	10/5/2012	-62.3522	45.979	273	Canada 2012								252	10/8/2012 19:49	7/20/2014 10:55	30	90	V16-4H	858			
511204000	1142740	33788	acoustic	10/5/2012	-62.3435	45.9981	218	Canada 2012								489	10/15/2012 19:04	11/5/2013 4:31	30	90	V16-4H	858			
511204100	11P0763	122505	satellite	10/5/2012	-62.3355	46.0015	284	Canada 2012	8/2/2013	-61.432	45.667	1	0	1	0	0							GOM	track	has SSM
511204101	1142741	33789	acoustic	10/5/2012	-62.3355	46.0015	284	Canada 2012								5168	10/27/2012 7:08	10/20/2014 17:36	30	90	V16-4H	858			
511204200	11P0764	122506	satellite	10/5/2012	-62.36658	46.002	282	Canada 2012								0									
511204201	1142742	33790	acoustic	10/5/2012	-62.36658	46.002	282	Canada 2012								102	10/29/2012 5:01	1/11/2013 5:53	30	90	V16-4H	858			
511204300	1117041	19222	acoustic	10/8/2012	-62.21507	46.0062	259	Canada 2012								293	10/11/2012 6:19	9/8/2014 20:04	30	90	V16-4H	858			
